hotel_id,name,city,country,tier,price_per_night_inr,star_rating,review_score,amenities,image_url,address
HTL_MAN_01,The Himalayan Luxury Resort & Castle,Manali,India,Luxury 5-Star,12500,4.9,4.9,"Himalayan View, Heated Pool, Fireplace, Spa, Fine Dining, Ski Transfer",https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800&q=80,"Hadimba Road, Manali, Himachal Pradesh"
HTL_MAN_02,Span Resort & Spa Riverbank,Manali,India,Luxury 5-Star,14000,4.8,4.8,"Beas River Front, Helipad, Pine Forest Lawn, Outdoor Bar, Spa",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800&q=80,"Baragarh Estate, Beas Valley, Manali"
HTL_MAN_03,Apple Country Boutique Resort,Manali,India,Mid-Range / Comfort,4500,4.6,4.6,"Apple Orchard View, Mountain Balcony, Discotheque, Spa, Free Wifi",https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800&q=80,"Log Huts Area, Old Manali"
HTL_MAN_04,The Johnson Lodge & Spa,Manali,India,Mid-Range / Comfort,5500,4.7,4.7,"Wooden Chalets, Famous Italian Cafe, Garden Bar, Trout Fish Kitchen",https://images.unsplash.com/photo-1542314831-068cd1dbfeeb?w=800&q=80,"Circuit House Road, Manali"
HTL_MAN_05,Zostel Manali (Old Manali Vibe),Manali,India,Budget / Backpacker,1200,4.5,4.5,"Bunk & Private Rooms, Rooftop Cafe, Bonfire, High Speed Wifi, Community Hall",https://images.unsplash.com/photo-1555854877-bab0e564b8d5?w=800&q=80,"Manu Temple Road, Old Manali"
HTL_GOA_01,Taj Exotica Resort & Spa Benaulim,Goa,India,Luxury 5-Star,18500,4.9,4.9,"Private Beach, Mediterranean Villa, Golf Course, Jiva Spa, 5 Restaurants",https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800&q=80,"Calwaddo, Benaulim, South Goa"
HTL_GOA_02,W Goa Vagator Cliffside,Goa,India,Luxury 5-Star,21000,4.9,4.9,"Rock Pool Bar, Sunset Lounge, Chapora Fort View, AWAY Spa, Beach Access",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800&q=80,"Vagator Beach, North Goa"
HTL_GOA_03,Taj Fort Aguada Resort & Spa,Goa,India,Luxury 5-Star,16000,4.8,4.8,"Sea Facing Cottages, Historic Portuguese Ramparts, Infinity Pool, Watersports",https://images.unsplash.com/photo-1571896349842-33c89424de2d?w=800&q=80,"Sinquerim, Candolim, North Goa"
HTL_GOA_04,BloomSuites Calangute,Goa,India,Mid-Range / Comfort,3800,4.5,4.5,"Swimming Pool, 500m to Beach, Breakfast Buffet, Free Wifi, Modern Rooms",https://images.unsplash.com/photo-1590490360182-c33d57733427?w=800&q=80,"Calangute-Candolim Main Road, Goa"
HTL_GOA_05,Zostel Morjim Beach Hostel,Goa,India,Budget / Backpacker,1100,4.6,4.6,"Beach Walkway, Co-Working Space, Rooftop Cafe, Surf Board Rentals",https://images.unsplash.com/photo-1555854877-bab0e564b8d5?w=800&q=80,"Morjim Beach Road, Pernem, Goa"
HTL_PAR_01,Hôtel Plaza Athénée Paris,Paris,France,Luxury Palace 5-Star,48000,5.0,4.9,"Eiffel Tower Balcony View, Dior Spa, Alain Ducasse Dining, Courtyard Ivy",https://images.unsplash.com/photo-1542314831-068cd1dbfeeb?w=800&q=80,"25 Avenue Montaigne, 8th arr., Paris"
HTL_PAR_02,Pullman Paris Tour Eiffel,Paris,France,Luxury 4-Star Superior,26000,4.7,4.7,"Direct Eiffel Tower Views, Frame Rooftop Bar, Fitness Lounge, Metro Access",https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800&q=80,"18 Avenue de Suffren, 15th arr., Paris"
HTL_PAR_03,CitizenM Paris Champs-Élysées,Paris,France,Boutique / Comfort,14500,4.6,4.6,"Smart Mood Rooms, Rooftop Cocktail CloudBar, 200m to Arc de Triomphe",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800&q=80,"Rue la Boétie, Champs-Élysées, Paris"
HTL_PAR_04,Generator Paris (Canal Saint-Martin),Paris,France,Budget / Design Hostel,3800,4.4,4.4,"Rooftop Sacré-Cœur View, Underground Bar, En-suite Dorms, Metro Colonel Fabien",https://images.unsplash.com/photo-1555854877-bab0e564b8d5?w=800&q=80,"Place du Colonel Fabien, 10th arr., Paris"
HTL_SWI_01,The Dolder Grand Zurich,Switzerland,Switzerland,Luxury 5-Star Deluxe,55000,5.0,4.9,"Lake Zurich Panorama, 4000sqm Spa, Michelin Star Dining, Private Art Collection",https://images.unsplash.com/photo-1542314831-068cd1dbfeeb?w=800&q=80,"Kurhausstrasse 65, Zurich"
