disruption_id,city,type,severity,title,description,impact,status,source
DIS_MAN_01,Manali,Weather Warning,Medium,Rohtang Pass High-Altitude Snow Advisory,"Fresh snowfall above 3,500m on Rohtang Pass. Chains recommended for vehicles. Atal Tunnel route operating normally.",Day 2 high snow point activities adjusted with warm weather backup.,Active,HP State Disaster Management
DIS_MAN_02,Manali,Road Maintenance,Low,Kullu-Manali Left Bank Highway Work,Routine widening on Naggar stretch. Slight 15-minute slowdowns during evening hours.,Route optimizer automatically schedules alternate NH-3 bypass.,Monitoring,BRO Road Advisory
DIS_GOA_01,Goa,Marine / Tide Advisory,Low,Monsoon High Swell on North Coast,Deep ocean water-sports temporarily shifted to sheltered Sinquerim Bay. Beach shacks fully operational.,Water activity points relocated to calm waters.,Active,Indian Meteorological Dept
DIS_GOA_02,Goa,Flight Congestion,Low,Goa Dabolim / Mopa Runway Scheduled Check,Minor 20m gate queues during peak holiday slots. No flight cancellations reported.,Airport transfer buffer adjusted to +40 mins.,Monitoring,AAI Radar
DIS_PAR_01,Paris,Transit Advisory,Low,Paris Metro Line 1 Platform Modernization,Concorde station undergoing escalator maintenance. Adjacent Tuileries and Franklin D. Roosevelt stations open.,Walking route optimized to Tuileries entrance.,Active,RATP Paris
DIS_PAR_02,Paris,Monument Queue Alert,Medium,Louvre Museum Peak Visitor Flow,High ticket demand at Pyramid entrance. Advance timed-entry required.,AI Planner assigns 09:30 AM priority morning reservation slot.,Active,Louvre Operations
DIS_SWI_01,Switzerland,Alpine Weather,Low,Jungfraujoch Summit Gusts Advisory,"High alpine winds above 3,400m. Eiger Express cableway running on reduced speed.",Indoor Ice Palace and Sphinx Observatory prioritized.,Active,MeteoSwiss
DIS_SWI_02,Switzerland,Train Track Upgrades,Low,GoldenPass Express Panoramic Line Check,Minor 10-minute maintenance on Spiez connector.,Zero disruption to planned itinerary.,Monitoring,SBB Swiss Railways
DIS_JAI_01,Jaipur,Traffic Advisory,Low,Pink City Walled Gate Evening Crowds,Ajmeri Gate to Bapu Bazaar heavy footfall between 6-8 PM.,Evening walk route mapped through pedestrian-friendly artisan corridors.,Active,Jaipur City Police
DIS_GEN_01,General,Global Transit Alert,Low,International Airport Security Biometric Updates,Standard international e-gate processing operational across major transit hubs.,Smooth standard transit flow.,Operational,IATA Radar
