id,name,city,country,category,rating,cost_inr,avg_duration_hrs,best_season,tags,lat,lon,description
GOA_001,Baga Beach,Goa,India,Beach & Nightlife,4.5,0,3.5,Nov-Feb,"beach, nightlife, watersports, shacks, seafood",15.5553,73.7516,"Famous beach in North Goa known for vibrant nightlife, beach shacks, watersports like parasailing, and lively evening ambiance."
GOA_002,Fort Aguada,Goa,India,Heritage & History,4.4,50,2.0,Oct-Mar,"heritage, fort, sea view, lighthouse, photography",15.4921,73.7736,"A well-preserved seventeenth-century Portuguese fort and lighthouse standing on Sinquerim Beach, overlooking the Arabian Sea."
GOA_003,Basilica of Bom Jesus,Goa,India,Heritage & Culture,4.6,0,1.5,All Year,"unesco, church, architecture, history, peaceful",15.5009,73.9116,"A UNESCO World Heritage site in Old Goa containing the mortal remains of St. Francis Xavier, featuring baroque architecture."
GOA_004,Dudhsagar Waterfalls,Goa,India,Nature & Adventure,4.7,500,5.0,Jun-Nov,"waterfall, trekking, jeep safari, nature, adventure",15.3144,74.3143,"A four-tiered waterfall on the Mandovi River known as 'Sea of Milk', surrounded by lush deciduous forests and jungle trails."
GOA_005,Anjuna Flea Market & Curlies,Goa,India,Shopping & Nightlife,4.3,0,2.5,Nov-Apr,"flea market, shopping, live music, beach party, bohemian",15.5804,73.7423,"Famous weekly market and coastal shacks offering handicrafts, bohemian clothes, live trance music, and sunset dining."
GOA_006,Palolem Beach,Goa,India,Relaxation & Scenic,4.7,0,4.0,Nov-Mar,"scenic, silent noise party, kayaking, dolphins, relaxed",15.01,74.0232,"Crescent-shaped white sand beach in South Goa lined with coconut palms, ideal for kayaking and relaxed family vacations."
JPR_001,Amber Palace (Amer Fort),Jaipur,India,Heritage & Architecture,4.7,100,3.0,Oct-Mar,"unesco, fort, palace, mirror palace, history, royal",26.9855,75.8513,"Majestic hilltop fort featuring red sandstone and marble, with Sheesh Mahal (mirror palace) overlooking Maota Lake."
JPR_002,Hawa Mahal (Palace of Winds),Jaipur,India,Heritage & Architecture,4.5,50,1.5,Oct-Mar,"pink city, architecture, photography, landmark, museum",26.9239,75.8267,Iconic five-story pink sandstone palace with 953 ornate honeycomb windows designed for royal women to observe street festivals.
JPR_003,City Palace & Jantar Mantar,Jaipur,India,Heritage & Science,4.6,200,2.5,Oct-Mar,"royal residence, unesco, astronomy, artifacts, courtyard",26.9258,75.8237,"Complex blending Rajput and Mughal architecture, paired with the world's largest stone astronomical observatory."
JPR_004,Chokhi Dhani Ethnic Village,Jaipur,India,Culture & Dining,4.4,900,4.0,All Year,"rajasthani thali, folk dance, camel ride, village experience",26.7663,75.8362,"A cultural village resort offering traditional Rajasthani folk dances, puppet shows, camel rides, and authentic royal dining."
KER_001,Munnar Tea Gardens & Eravikulam,Munnar,India,Nature & Hill Station,4.8,200,4.0,Sep-May,"tea plantation, hills, wildlife, nilgiri tahr, mist, trekking",10.0889,77.0595,"Rolling hills blanketed with verdant tea plantations, rare flora, and habitat for the endangered Nilgiri Tahr."
KER_002,Alleppey Houseboat Backwaters,Alleppey,India,Scenic & Leisure,4.8,3500,6.0,Oct-Mar,"backwaters, houseboat, cruise, kerala meals, serene, honeymoon",9.4981,76.3388,"Cruising through tranquil palm-fringed canals, lagoons, and paddy fields on a traditional Kettuvallam wooden houseboat."
KER_003,Fort Kochi & Chinese Fishing Nets,Kochi,India,Culture & Heritage,4.5,0,2.5,All Year,"colonial, art cafes, spice market, sunset, fishing nets",9.9658,76.2421,"Historic seaside neighborhood with European colonial buildings, contemporary art cafes, and iconic cantilevered fishing nets."
MNL_001,Solang Valley Adventure Hub,Manali,India,Adventure & Snow,4.6,800,4.5,Oct-Jun,"snow, paragliding, skiing, zorbing, cable car, mountains",32.3166,77.1578,"Premier adventure playground offering paragliding, quad biking, zorbing, and winter skiing with breathtaking Himalayan views."
MNL_002,Atal Tunnel & Sissu Valley,Manali,India,Scenic & Roadtrip,4.9,0,3.5,May-Nov,"himalayas, tunnel, lahaul valley, waterfall, roadtrip",32.482,77.1265,"World's longest highway tunnel above 10,000 feet leading into the dramatic snowcapped landscapes of Lahaul and Sissu waterfalls."
DXB_001,Burj Khalifa & Dubai Mall,Dubai,UAE,Modern Wonder & Luxury,4.8,3800,4.0,Nov-Mar,"skyscraper, fountain show, observation deck, shopping, luxury",25.1972,55.2744,World's tallest building offering panoramic 360-degree observation decks paired with the world's largest luxury mall and musical fountains.
DXB_002,Desert Safari with BBQ & Dune Bashing,Dubai,UAE,Adventure & Culture,4.7,2500,5.5,Oct-Apr,"dune bashing, sandboarding, camel ride, bbq dinner, belly dance",24.8318,55.4851,"Thrilling 4x4 dune ride across Arabian red dunes followed by sunset photography, camel trekking, shisha, and live entertainment."
