poi_id,name,city,region,country,category,rating,entry_fee_inr,avg_spend_inr,ideal_duration_hrs,lat,lon,tags,description,state
GOA_01,Baga Beach Watersports & Tito's Lane,Goa,India,India,Beach & Watersports,4.6,0,1500.0,3.5,15.5553,73.7516,"parasailing, jet-ski, beach clubs, seafood shacks, tito's lane, north goa, goa","High-energy North Goa beach with thrilling parasailing, jet-skiing, beach shacks, and vibrant nightlife on Tito's Lane.",
IND_GOA_02,Fort Aguada & Portuguese Lighthouse,Goa,India,India,Heritage & Fort,4.5,50,100.0,2.0,15.4921,73.7736,"portuguese fort, lighthouse, sinquerim, arabian sea view",17th-century bastion built by Portuguese to guard Mandovi estuary with panoramic views across Arabian Sea.,Goa
IND_GOA_03,Basilica of Bom Jesus (UNESCO),Goa,India,India,UNESCO Heritage,4.8,0,50.0,1.5,15.5009,73.9116,"unesco, old goa, baroque church, st francis xavier relics",World-famous UNESCO Catholic basilica in Old Goa housing sacred relics of St. Francis Xavier.,Goa
GOA_04,Dudhsagar Falls & 4x4 Jungle Safari,Goa,India,India,Nature & Waterfalls,4.8,800,1500.0,5.0,15.3144,74.3143,"four-tiered waterfall, 310m cascade, sea of milk, railway bridge, mollem park, goa","Spectacular 310m four-tiered cascade on the Mandovi River, accessible via 4x4 jungle jeep safari through Bhagwan Mahavir Wildlife Sanctuary.",
GOA_05,Palolem Crescent Beach & Butterfly Island Kayaking,Goa,India,India,Scenic Beach & Relaxation,4.8,0,1000.0,3.5,15.01,74.0232,"south goa, crescent bay, calm swimming waters, kayak to butterfly beach, dolphin tour, goa","Pristine crescent bay in South Goa with calm swimming waters, colorful beachfront wooden cottages, and kayak tours to Butterfly Island.",
GOA_06,Fontainhas Latin Quarter Heritage Walk,Goa,India,India,Heritage & Architecture,4.7,0,600.0,2.0,15.4989,73.8322,"panaji, portuguese mansions, pastel alleys, azulejos tiles, traditional bakeries, goa","Asia's only surviving Latin Quarter featuring narrow winding streets, pastel-painted 18th-century Portuguese mansions, and artisan bakeries.",
JAI_01,Amber Fort (Amer Palace) & Sheesh Mahal,Jaipur,Rajasthan,India,Hilltop Fortress,4.9,500,,3.5,26.9855,75.8513,"amer fort, sheesh mahal thousand mirrors, elephant ramp, maota lake, mughal rajput architecture, jaipur","Magnificent 16th-century hilltop fortress built of red sandstone and marble, famed for the Sheesh Mahal (Hall of Mirrors) and Maota Lake views.",
JAI_02,Hawa Mahal (Palace of Winds),Jaipur,Rajasthan,India,Iconic Monument,4.8,200,,1.5,26.9239,75.8267,"palace of winds, 953 pink sandstone jharokhas windows, royal women breeze, pink city, jaipur",Five-storey pink sandstone crown-shaped palace featuring 953 intricately carved lattice jharokha windows designed for royal ladies to observe street life.,
IND_RAJ_03,City Palace & Peacock Gate Courtyard,Jaipur,India,India,Royal Palaces,4.7,300,700.0,2.5,26.9258,75.8236,"royal residence, chandra mahal, armory museum, peacock gate","Grand royal complex displaying Maharaja costumes, antique weaponry, and the colorful mosaic Peacock Gate.",Rajasthan
JAI_05,Nahargarh Fort Sunset Point Over Pink City,Jaipur,Rajasthan,India,Sunset Fortress,4.8,200,,2.5,26.9378,75.8156,"aravali hills edge, stepwell padao restaurant, madhavendra bhawan 12 queen suites, rang de basanti spot, jaipur","Perched on the rugged Aravali ridge overlooking the entire Pink City, offering legendary golden sunsets and 12 identical suites for royal queens.",
